user_id	item_id	time	c_hour_c	c_weekday_c	c_period_c	c_day_f
35	728	878347915.0	9	5	1	42
100	833	875385198.0	2	6	8	8
33	25	881106072.0	7	2	0	74
148	509	882827834.0	5	1	0	94
66	545	884732407.0	7	2	0	116
229	1002	878141681.0	0	3	8	40
238	260	879517062.0	22	4	7	55
183	754	888082495.0	1	6	8	155
219	397	879454977.0	5	4	0	55
169	398	877124871.0	5	5	0	28
75	867	879875774.0	1	2	8	60
35	520	883613334.0	8	3	0	103
248	365	876504442.0	1	5	8	21
91	3	879879720.0	3	2	8	60
188	384	880484286.0	2	2	8	67
45	382	880928519.0	6	0	0	72
229	437	877531537.0	22	2	7	32
77	144	875640679.0	1	2	8	11
150	479	878962919.0	12	5	2	49
54	855	879216529.0	10	1	1	52
35	515	878348289.0	9	5	1	42
199	252	880606043.0	12	3	2	68
1	341	878542441.0	15	0	3	44
217	325	876954456.0	6	3	0	26
229	808	877533058.0	23	2	7	32
194	349	889181247.0	18	4	5	167
176	626	880245145.0	8	6	0	64
148	460	882826982.0	5	1	0	94
158	304	879522819.0	23	4	7	55
155	203	875072674.0	11	2	2	4
222	373	874786366.0	4	6	8	1
133	74	880135069.0	1	5	8	63
247	721	886323937.0	17	6	4	134
49	940	888204997.0	11	0	2	156
58	344	882027109.0	23	5	7	84
18	176	874951382.0	2	1	8	3
48	928	884304328.0	8	4	0	111
95	162	875076827.0	12	2	2	4
143	409	877557028.0	5	3	0	33
80	308	879196354.0	5	1	0	52
13	264	877720733.0	3	5	8	35
49	404	888206809.0	12	0	2	156
235	657	881105516.0	7	2	0	74
34	275	883955224.0	7	0	0	107
245	229	879468547.0	8	4	0	55
5	533	883601713.0	4	3	8	103
229	376	875807004.0	23	3	7	12
240	641	875239383.0	10	4	1	6
110	147	875801778.0	22	3	7	12
30	810	882157285.0	11	0	2	86
88	363	888465201.0	11	3	2	159
18	518	874951695.0	2	1	8	3
15	482	880129628.0	0	5	8	63
22	296	885852817.0	6	1	0	129
217	995	876955868.0	6	3	0	26
57	312	876974133.0	11	3	2	26
71	288	880307940.0	1	0	8	65
76	289	879459859.0	6	4	0	55
108	397	879968029.0	3	3	8	61
247	588	886323525.0	16	6	4	134
229	244	877532470.0	23	2	7	32
208	898	882165103.0	13	0	3	86
181	551	875245462.0	11	4	2	6
164	275	884114471.0	3	2	8	109
126	250	878746685.0	0	3	8	47
121	804	888104122.0	7	6	0	155
92	637	880578814.0	5	3	0	68
144	954	886432989.0	23	0	7	135
216	651	876513830.0	4	5	8	21
135	532	876858346.0	3	2	8	25
159	350	878019342.0	14	1	3	38
183	247	888082468.0	1	6	8	155
84	14	885678724.0	5	6	0	127
2	327	888552084.0	12	4	2	160
235	928	881104148.0	7	2	0	74
61	639	880037203.0	22	3	7	61
71	359	880307072.0	1	0	8	65
230	946	875334340.0	12	5	2	7
182	607	878184113.0	12	3	2	40
21	706	875322758.0	9	5	1	7
160	467	881251863.0	0	4	8	76
208	821	882164644.0	13	0	3	86
185	634	883889102.0	12	6	2	106
224	803	875296891.0	2	5	8	7
13	850	877722736.0	3	5	8	35
166	949	880434940.0	13	1	3	66
122	634	875271896.0	19	4	5	6
231	385	886372527.0	6	0	0	135
124	1	877019411.0	0	4	8	27
18	232	874951695.0	2	1	8	3
194	564	889181015.0	18	4	5	167
152	365	883526288.0	7	2	0	102
240	922	875239125.0	9	4	1	6
245	744	879467361.0	8	4	0	55
194	264	889178833.0	18	4	5	167
50	230	883327734.0	0	0	8	100
161	334	884204501.0	4	3	8	110
194	589	889178887.0	18	4	5	167
73	709	882995615.0	4	3	8	96
164	594	884112201.0	2	2	8	109
239	302	884197264.0	2	3	8	110
10	783	882141727.0	7	0	0	86
170	731	883108476.0	11	4	2	97
188	241	880484523.0	3	2	8	67
51	251	879375169.0	6	3	0	54
54	160	879217509.0	11	1	2	52
144	728	886514261.0	21	1	6	136
227	508	879297965.0	9	2	1	53
253	995	884364502.0	0	5	8	112
159	813	883295500.0	15	6	3	99
110	39	876251160.0	3	2	8	18
229	792	877532965.0	23	2	7	32
172	276	887730676.0	23	1	7	150
194	928	889180446.0	18	4	5	167
81	904	884403531.0	11	5	2	112
72	144	883452307.0	11	1	2	101
221	341	880314031.0	3	0	8	65
59	471	884068521.0	14	1	3	108
253	928	884963365.0	23	4	7	118
244	600	882076146.0	13	6	3	85
128	750	880149074.0	5	5	0	63
199	241	880605665.0	12	3	2	68
44	359	879443288.0	1	4	8	55
199	844	880608037.0	13	3	3	68
21	261	875323003.0	9	5	1	7
10	250	882140354.0	6	0	0	86
2	574	888552084.0	12	4	2	160
121	160	888104191.0	7	6	0	155
155	515	875074329.0	12	2	2	4
222	405	874786419.0	4	6	8	1
61	309	880037418.0	22	3	7	61
71	460	887665549.0	5	1	0	150
92	476	880581344.0	5	3	0	68
152	289	883526268.0	7	2	0	102
47	843	883698495.0	7	4	0	104
188	981	880484370.0	2	2	8	67
146	909	886047442.0	12	3	2	131
228	345	885328991.0	4	2	8	123
90	603	881452685.0	7	6	0	78
234	493	875086920.0	15	2	3	4
72	26	883452711.0	11	1	2	101
158	256	879520813.0	23	4	7	55
227	888	879297442.0	9	2	1	53
240	352	874954260.0	2	1	8	3
67	331	879633745.0	6	6	0	57
250	658	887737647.0	1	2	8	151
157	62	889126943.0	3	4	8	167
75	653	879877008.0	2	2	8	60
6	574	879362124.0	3	3	8	54
145	167	877107640.0	1	5	8	28
222	494	874792907.0	6	6	0	1
71	283	880307751.0	1	0	8	65
224	236	875296435.0	1	5	8	7
222	545	889174904.0	17	4	4	167
51	658	879373821.0	6	3	0	54
71	987	880308690.0	2	0	8	65
52	3	875747319.0	7	3	0	12
13	247	877719333.0	2	5	8	35
33	995	881106711.0	7	2	0	74
245	467	879484981.0	13	4	3	55
220	574	878944679.0	7	5	0	49
79	845	885873006.0	11	1	2	129
202	657	884534968.0	0	0	8	114
163	924	884127082.0	6	2	0	109
239	296	884196640.0	2	3	8	110
160	457	881251728.0	0	4	8	76
61	266	880036747.0	22	3	7	61
208	543	882152471.0	10	0	1	86
108	251	879967225.0	3	3	8	61
229	893	877533224.0	23	2	7	32
142	294	875537441.0	20	0	6	9
250	592	887736743.0	1	2	8	151
250	512	887739257.0	2	2	8	151
180	376	881198966.0	9	3	1	75
18	405	874950889.0	1	1	8	3
172	765	887730589.0	23	1	7	150
162	295	883782854.0	7	5	0	105
240	325	874954497.0	2	1	8	3
222	837	877934828.0	14	0	3	37
242	890	877877649.0	22	6	7	36
1	540	875072125.0	11	2	2	4
137	359	889401906.0	8	0	0	170
81	738	884402860.0	11	5	2	112
234	14	874833827.0	17	6	4	1
191	246	877661496.0	10	4	1	34
5	593	883602212.0	5	3	0	103
80	744	879196231.0	5	1	0	52
22	333	885853415.0	6	1	0	129
5	304	883601365.0	4	3	8	103
55	250	883601425.0	4	3	8	103
168	382	888180227.0	4	0	8	156
182	293	878183285.0	11	3	2	40
65	675	875028123.0	23	1	7	3
127	768	879542460.0	5	5	0	56
254	357	877888346.0	1	0	8	37
35	334	878340824.0	7	5	0	42
245	493	879483510.0	12	4	2	55
217	632	876954927.0	6	3	0	26
202	125	884535433.0	0	0	8	114
105	398	879454309.0	4	4	8	55
115	600	879024043.0	5	6	0	50
234	215	874833668.0	17	6	4	1
194	977	889178798.0	18	4	5	167
113	922	882848925.0	11	1	2	94
70	264	878770027.0	6	3	0	47
148	269	882826306.0	5	1	0	94
249	966	877123315.0	5	5	0	28
8	560	877888613.0	1	0	8	37
20	334	876785704.0	7	1	0	24
250	243	887736696.0	1	2	8	151
152	106	883524320.0	7	2	0	102
100	721	875385007.0	2	6	8	8
201	785	884921794.0	11	4	2	118
79	315	885873423.0	11	1	2	129
103	453	879270769.0	1	2	8	53
212	706	879793022.0	2	1	8	59
84	477	885680374.0	6	6	0	127
71	505	880308690.0	2	0	8	65
110	387	877984546.0	4	1	8	38
144	476	886513729.0	21	1	6	136
208	559	882164231.0	13	0	3	86
49	246	888204349.0	11	0	2	156
204	266	878091818.0	10	2	1	39
82	735	884239744.0	14	3	3	110
103	586	879270327.0	1	2	8	53
31	477	880915942.0	2	0	8	72
245	74	879467959.0	8	4	0	55
138	451	879525987.0	0	5	8	56
146	405	886047292.0	12	3	2	131
35	215	878341343.0	7	5	0	42
24	258	882821942.0	4	1	8	94
79	243	885870231.0	11	1	2	129
99	250	880124648.0	23	4	7	62
16	511	885412840.0	4	3	8	124
158	261	879521856.0	23	4	7	55
133	315	880134261.0	1	5	8	63
77	809	875656164.0	5	2	0	11
155	977	875073128.0	11	2	2	4
48	242	884305353.0	8	4	0	111
199	221	880606385.0	12	3	2	68
241	691	884183406.0	22	2	7	109
206	305	886472400.0	10	1	1	136
13	281	877722736.0	3	5	8	35
127	879	879524199.0	0	5	8	56
163	656	884128499.0	7	2	0	109
240	508	875239658.0	10	4	1	6
127	138	879524368.0	0	5	8	56
247	555	886323068.0	16	6	4	134
118	334	884584338.0	13	0	3	114
35	316	878346997.0	9	5	1	42
191	280	880610814.0	14	3	3	68
1	296	878873388.0	11	4	2	48
188	494	880484587.0	3	2	8	67
167	396	888284710.0	9	1	1	157
224	922	875306910.0	4	5	8	7
94	413	884992603.0	7	5	0	119
239	504	884197330.0	2	3	8	110
75	283	879875734.0	1	2	8	60
8	363	877889186.0	2	0	8	37
20	533	874785843.0	4	6	8	1
176	243	881432488.0	2	6	8	78
115	593	879024279.0	5	6	0	50
4	1	875635748.0	0	2	8	11
222	437	874787526.0	4	6	8	1
51	509	879375588.0	6	3	0	54
194	546	889178689.0	18	4	5	167
110	309	875216932.0	3	4	8	6
213	765	886123596.0	9	4	1	132
170	267	883108797.0	11	4	2	97
21	823	875322875.0	9	5	1	7
136	17	877636556.0	3	4	8	34
135	228	876862078.0	4	2	8	25
142	648	875538028.0	21	0	6	9
45	741	880935294.0	8	0	0	72
172	987	887736454.0	1	2	8	151
137	950	889402340.0	8	0	0	170
92	12	880564570.0	1	3	8	68
169	325	876079113.0	3	0	8	16
92	1	880563619.0	1	3	8	68
48	773	884304812.0	8	4	0	111
245	758	879466771.0	8	4	0	55
128	83	880148782.0	5	5	0	63
186	574	879035347.0	8	6	0	50
238	783	879518714.0	22	4	7	55
223	331	879544145.0	5	5	0	56
224	977	875310606.0	5	5	0	7
1	329	874965970.0	6	1	0	3
15	251	880130640.0	0	5	8	63
222	639	882659211.0	7	6	0	92
75	246	879875940.0	1	2	8	60
175	179	878955139.0	10	5	1	49
105	186	879454532.0	4	4	8	55
108	801	879969349.0	3	3	8	61
234	503	874871766.0	3	0	8	2
22	280	885852337.0	6	1	0	129
231	349	889225463.0	7	5	0	168
220	810	878944406.0	7	5	0	49
59	494	884065035.0	13	1	3	108
127	939	879524368.0	0	5	8	56
162	344	883782509.0	7	5	0	105
49	828	888206254.0	11	0	2	156
182	914	878183336.0	11	3	2	40
245	486	879483802.0	13	4	3	55
172	604	887736232.0	1	2	8	151
99	215	880125887.0	23	4	7	62
73	256	879454235.0	4	4	8	55
49	618	888205921.0	11	0	2	156
176	266	880245145.0	8	6	0	64
121	220	888105823.0	8	6	0	155
172	351	887730676.0	23	1	7	150
54	107	879217349.0	11	1	2	52
1	97	878542738.0	15	0	3	44
65	244	875028853.0	23	1	7	3
237	583	877819532.0	6	6	0	36
5	565	883601089.0	4	3	8	103
224	808	875310233.0	5	5	0	7
245	82	879467936.0	8	4	0	55
252	118	879436104.0	23	3	7	54
254	112	877887002.0	1	0	8	37
10	144	882397503.0	6	3	0	89
34	573	875981421.0	0	6	8	15
253	637	884366112.0	1	5	8	112
73	669	882995132.0	4	3	8	96
90	650	881451199.0	7	6	0	78
31	125	880915674.0	2	0	8	72
222	888	874786807.0	4	6	8	1
19	334	878886261.0	15	4	3	48
59	867	884068075.0	14	1	3	108
250	967	887737130.0	1	2	8	151
50	280	883326028.0	0	0	8	100
217	836	876955711.0	6	3	0	26
198	280	879989134.0	9	3	1	61
69	358	876534214.0	9	5	1	21
163	549	884128788.0	7	2	0	109
98	326	876452606.0	11	4	2	20
238	241	879516986.0	22	4	7	55
52	6	875747368.0	7	3	0	12
238	310	879517943.0	22	4	7	55
131	708	888185677.0	6	0	0	156
135	506	876861799.0	4	2	8	25
192	261	879376773.0	7	3	0	54
36	68	881012356.0	5	1	0	73
219	78	879454977.0	5	4	0	55
61	357	880036824.0	22	3	7	61
218	256	885848343.0	4	1	8	129
201	500	884921918.0	11	4	2	118
97	850	881171982.0	1	3	8	75
80	1	879197329.0	5	1	0	52
123	933	885594015.0	6	5	0	126
127	647	879524849.0	0	5	8	56
89	344	889214268.0	3	5	8	168
28	393	888602742.0	2	5	8	161
61	502	880037702.0	22	3	7	61
36	129	881014550.0	6	1	0	73
224	204	880850073.0	8	6	0	71
122	293	875273021.0	19	4	5	6
60	922	880864462.0	12	6	2	71
151	754	876435435.0	6	4	0	20
157	692	889126972.0	3	4	8	167
127	557	879525002.0	0	5	8	56
159	409	884420059.0	16	5	4	112
92	334	880562908.0	0	3	8	68
226	366	879949367.0	22	2	7	60
20	457	874787350.0	4	6	8	1
127	451	879524819.0	0	5	8	56
226	408	879949417.0	22	2	7	60
246	312	884968415.0	0	5	8	119
23	843	881961003.0	5	5	0	84
214	542	875320302.0	8	5	0	7
15	97	880129628.0	0	5	8	63
71	867	887665423.0	5	1	0	150
75	266	879877681.0	2	2	8	60
126	176	878746946.0	0	3	8	47
59	283	884065854.0	13	1	3	108
77	245	875652981.0	4	2	8	11
137	750	889402160.0	8	0	0	170
77	249	875653016.0	4	2	8	11
34	276	883956122.0	7	0	0	107
182	33	878184514.0	12	3	2	40
218	770	885849052.0	5	1	0	129
62	724	888625422.0	8	5	0	161
217	736	876956360.0	6	3	0	26
5	549	883602762.0	5	3	0	103
169	36	875509787.0	13	0	3	9
73	876	886282959.0	5	6	0	134
133	829	880134477.0	1	5	8	63
240	656	875238579.0	9	4	1	6
218	554	885848519.0	5	1	0	129
215	238	878971773.0	14	5	3	49
158	713	879521531.0	23	4	7	55
1	301	876892946.0	13	2	3	25
141	371	884103732.0	0	2	8	109
50	20	883326185.0	0	0	8	100
230	429	888177040.0	3	0	8	156
159	13	879673925.0	17	6	4	57
224	301	889326161.0	11	6	2	169
72	810	883449530.0	10	1	1	101
256	995	880853743.0	9	6	1	71
22	325	885853415.0	6	1	0	129
140	351	884287865.0	3	4	8	111
87	315	880415847.0	7	1	0	66
242	656	877880852.0	23	6	7	36
230	373	875333873.0	12	5	2	7
75	928	879877931.0	2	2	8	60
40	540	888068715.0	21	5	6	154
239	896	884197352.0	2	3	8	110
35	967	878347569.0	9	5	1	42
257	545	884495742.0	13	6	3	113
182	34	881060578.0	19	1	5	73
70	525	876311319.0	19	2	5	18
33	750	881105972.0	7	2	0	74
122	159	875271397.0	18	4	5	6
250	891	887736925.0	1	2	8	151
122	519	877343121.0	18	0	5	30
100	546	875384793.0	2	6	8	8
110	396	888211794.0	13	0	3	156
119	867	888640356.0	12	5	2	161
101	782	874774956.0	1	6	8	1
84	574	885679998.0	6	6	0	127
248	194	876503995.0	1	5	8	21
186	374	879035387.0	8	6	0	50
49	81	888206254.0	11	0	2	156
253	780	884365718.0	1	5	8	112
212	629	879795122.0	3	1	8	59
13	634	877719863.0	3	5	8	35
